,State,State ID,District,District ID,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,Total Number of reported live births,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,MMR,IMR,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres,GDP_PC,Poor_GDP_PC
180,Assam,4,Sonitpur,25,2017,0,1,0,0,0,0,89.3,32298,98.2,15.5,58.6,105.5,61.9,101.5,933,530,60,36512,185.77,16.41,58,288,119,22,2,2,433,74183,1
181,Assam,4,Sonitpur,25,2018,1,0,1,0,1,0,91.6,34633,98.1,20.4,51.2,108.5,56.8,91.5,24849,578,73,35564,210.78,16.69,111,291,119,23,2,2,437,82078,1
182,Assam,4,Sonitpur,25,2019,1,0,0,1,0,1,92.1,33195,97.9,15.1,65.5,113.9,63.5,91.3,24814,668,75,33450,225.94,20.12,183,291,119,23,2,2,437,86182,1
183,Assam,4,Tinsukia,26,2017,0,1,0,0,0,0,95.6,21378,98.7,18.7,56.6,104.4,40.2,98.3,599,271,18,24062,84.2,12.68,58,174,94,31,31,1,300,74183,1
184,Assam,4,Tinsukia,26,2018,1,0,1,0,1,0,97.0,22326,99.1,17.1,40.4,95.7,31.2,90.4,15998,197,14,25409,62.71,8.82,111,174,94,31,31,1,300,82078,1
185,Assam,4,Tinsukia,26,2019,1,0,0,1,0,1,97.2,22227,99.1,15.3,60,100.7,45.3,95.6,18381,203,13,23103,58.49,9.13,183,174,94,31,31,1,300,86182,1
186,Assam,4,Udalguri,27,2017,0,1,0,0,0,0,90.4,9307,98.3,20.3,69.7,121.6,58.4,139.6,498,250,22,14497,236.38,26.86,58,146,46,7,7,1,200,74183,1
187,Assam,4,Udalguri,27,2018,1,0,1,0,1,0,92.9,8385,98.4,19.2,60,131.2,58.7,151.3,12139,184,15,15330,178.89,21.94,111,150,50,8,8,1,209,82078,1
188,Assam,4,Udalguri,27,2019,1,0,0,1,0,1,94.7,7371,98.3,17.9,74.4,135.9,66.1,156.7,10635,173,10,13237,135.67,23.47,183,150,50,8,8,1,209,86182,1
189,Bihar,5,Araria,1,2017,0,1,0,0,0,0,76.1,71517,98.8,15.2,77.2,116.0,69.1,111.7,0,150,33,100039,46.14,2.1,68,222,42,2,1,3,270,38630,1
190,Bihar,5,Araria,1,2018,1,0,1,0,1,0,77.3,71005,98.9,15.4,78.7,116.8,72.1,84.3,11410,72,12,108139,16.9,1.01,105,222,44,2,1,3,272,43822,1
191,Bihar,5,Araria,1,2019,1,0,0,1,0,1,80.4,68853,98.9,10.6,80.7,119.9,75.5,115.1,76848,216,40,108878,58.09,3.14,165,222,44,2,1,3,272,46013,1
192,Bihar,5,Arwal,2,2017,0,1,0,0,0,0,87.8,11482,98.8,6.9,95.5,125.8,88.0,126.4,0,171,25,15931,217.73,14.89,68,63,33,33,33,3,99,38630,1
193,Bihar,5,Arwal,2,2018,1,0,1,0,1,0,89.7,10980,98.7,7.0,97.2,131.6,92.5,149.5,5129,184,24,15770,218.58,16.76,105,63,33,33,33,3,99,43822,1
