,State,State ID,District,District ID,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,Total Number of reported live births,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,MMR,IMR,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres,GDP_PC,Poor_GDP_PC
102,Arunachal Pradesh,3,West Kameng,19,2017,0,1,0,0,0,0,96.5,898,98.0,4.4,95.5,112.8,86.4,136.6,78,19,1,1990,111.36,21.16,12,29,5,5,5,1,40,130197,0
103,Arunachal Pradesh,3,West Kameng,19,2018,1,0,1,0,1,0,97.7,743,98.4,6.6,91.0,145.4,90.8,183.7,645,4,0,1934,0.0,5.38,16,29,5,5,5,1,40,139587,0
104,Arunachal Pradesh,3,West Kameng,19,2019,1,0,0,1,0,1,98.2,644,99.2,8.1,89.3,98.0,84.3,180.7,901,1,0,1591,0.0,1.55,54,29,5,5,5,1,40,146567,0
105,Arunachal Pradesh,3,West Siang,20,2017,0,1,0,0,0,0,96.9,1176,99.6,4.1,74.2,86.2,50.7,107.7,131,0,0,1939,0.0,0.0,12,26,11,5,5,1,43,130197,0
106,Arunachal Pradesh,3,West Siang,20,2018,1,0,1,0,1,0,97.2,1092,98.9,2.7,76.5,104.9,57.8,121.5,1138,0,0,2023,0.0,0.0,16,25,12,4,4,2,43,139587,0
107,Arunachal Pradesh,3,West Siang,20,2019,1,0,0,1,0,1,97.2,1055,99.4,5.3,86.1,101.2,68.5,116.6,1053,0,0,1629,0.0,0.0,54,25,12,4,4,2,43,146567,0
108,Assam,4,Baksa,1,2017,0,1,0,0,0,0,91.4,9146,98.1,12.3,78.1,150.0,39.8,152.5,2,239,9,17134,98.4,26.13,58,157,42,6,6,1,206,74183,1
109,Assam,4,Baksa,1,2018,1,0,1,0,1,0,93.8,8521,98.3,14.1,56.5,150.3,44.9,176.7,13439,293,4,16759,46.94,34.39,111,157,42,6,6,1,206,82078,1
110,Assam,4,Baksa,1,2019,1,0,0,1,0,1,95.8,7595,98.1,11.9,87.3,167.3,60.0,179.7,12651,166,9,14910,118.5,21.86,183,157,44,8,8,1,210,86182,1
111,Assam,4,Barpeta,2,2017,0,1,0,0,0,0,78.0,37642,97.5,14.9,46.6,105.9,39.3,91.5,1683,774,34,40813,90.32,20.56,58,271,50,14,1,2,338,74183,1
